company,period,profit,currency,note
BTL,2021,504528656.54,CNY,伯特利603596年报
BTL,2022,698807302.55,CNY,伯特利603596：最新调整值（2022年报原文698714610.48，腾讯财报数据为追溯调整后）
BTL,2023,891498095.42,CNY,伯特利603596年报
BTL,2024,1208851302.79,CNY,伯特利603596年报
BTL,2025,1309438112.97,CNY,伯特利603596年报
Baolong,2021,268398171.05,CNY,保隆科技603197年报
Baolong,2022,214131034.23,CNY,保隆科技603197年报
Baolong,2023,378833464.34,CNY,保隆科技603197年报
Baolong,2024,302550154.21,CNY,保隆科技603197年报
Baolong,2025,212674203.38,CNY,保隆科技603197年报
HASCO,2021,6468939920.38,CNY,华域汽车600741年报
HASCO,2022,7203125199.05,CNY,华域汽车600741年报
HASCO,2023,7214175836.76,CNY,华域汽车600741年报
HASCO,2024,6703625742.03,CNY,华域汽车600741：2025年报重述值（2024年报原文6690703044.68）
HASCO,2025,7207268139.61,CNY,华域汽车600741年报
Luxshare,2021,7070520386.57,CNY,立讯精密002475年报
Luxshare,2022,9163104849.54,CNY,立讯精密002475年报
Luxshare,2023,10952656702.16,CNY,立讯精密002475年报
Luxshare,2024,13365651026.16,CNY,立讯精密002475年报
Luxshare,2025,16599769785.64,CNY,立讯精密002475年报
NASN,2021,,CNY,拿森2261.HK：招股书报告期仅2023-2025，2021无公开数据
NASN,2022,,CNY,拿森2261.HK：招股书报告期仅2023-2025，2022无公开数据
NASN,2023,-200823000,CNY,拿森2261.HK招股书：年度亏损200823000，取负记为利润
NASN,2024,-169521000,CNY,拿森2261.HK招股书：年度亏损取负
NASN,2025,-189524000,CNY,拿森2261.HK招股书：年度亏损取负
Tuopu,2021,1017253691.77,CNY,拓普集团601689：追溯调整后值
Tuopu,2022,1700208711.12,CNY,拓普集团601689：调整后值（原披露1700131795.33）
Tuopu,2023,2150642258.47,CNY,拓普集团601689：调整后值
Tuopu,2024,3000605982.24,CNY,拓普集团601689年报
Tuopu,2025,2779071103.34,CNY,拓普集团601689年报
AUMOVIO,2024,-289000000.00,EUR,AUMOVIO年报（由CNY历史值-22.5131亿÷汇率7.79反推为欧元原值）
AUMOVIO,2025,-655000000.00,EUR,AUMOVIO年报（由CNY历史值-53.186亿÷汇率8.12反推为欧元原值）
