company,period,period_type,revenue,currency,exchange_rate
AUMOVIO,2024,FY,19763543003.85,EUR,
AUMOVIO,2025,FY,18550000000.0,EUR,
AUMOVIO,2025Q1,Q,4805000000.0,EUR,
AUMOVIO,2025Q2,Q,9545000000.0,EUR,
AUMOVIO,2026Q1,Q,4404000000.0,EUR,
AUMOVIO,2026Q2,Q,8649000000.0,EUR,
BTL,2021,FY,3492283094.71,CNY,
BTL,2022,FY,5539148624.29,CNY,
BTL,2023,FY,7473782728.86,CNY,
BTL,2024,FY,9936599426.94,CNY,
BTL,2025,FY,12014080628.71,CNY,
BTL,2025Q2,Q,5163806310.09,CNY,
BTL,2026Q2,Q,6271971694.77,CNY,
Baolong,2021,FY,3897585592.28,CNY,
Baolong,2022,FY,4777714295.69,CNY,
Baolong,2023,FY,5897464869.58,CNY,
Baolong,2024,FY,7024868294.2,CNY,
Baolong,2025,FY,8747278762.43,CNY,
Baolong,2025Q2,Q,3949720066.24,CNY,
Baolong,2026Q2,Q,4684042754.59,CNY,
HASCO,2021,FY,139944139630.43,CNY,
HASCO,2022,FY,158267906802.55,CNY,
HASCO,2023,FY,168594051304.15,CNY,
HASCO,2024,FY,169603589952.76,CNY,
HASCO,2025,FY,183998900513.66,CNY,
HASCO,2025Q2,Q,85157466819.98,CNY,
HASCO,2026Q2,Q,83938596743.94,CNY,
Luxshare,2021,FY,153946097790.4,CNY,
Luxshare,2022,FY,214028394291.44,CNY,
Luxshare,2023,FY,231905459829.83,CNY,
Luxshare,2024,FY,268794737612.58,CNY,
Luxshare,2025,FY,332344443143.39,CNY,
Luxshare,2025Q2,Q,124503174115.6,CNY,
Luxshare,2026Q2,Q,174504335921.25,CNY,
NASN,2021,FY,,CNY,
NASN,2022,FY,217519000.0,CNY,
NASN,2023,FY,272217000.0,CNY,
NASN,2024,FY,390737000.0,CNY,
NASN,2025,FY,614506000.0,CNY,
NASN,2025Q1,Q,102665000.0,CNY,
NASN,2026Q1,Q,150816000.0,CNY,
Tuopu,2021,FY,11462693679.86,CNY,
Tuopu,2022,FY,15992821677.5,CNY,
Tuopu,2023,FY,19700560430.0,CNY,
Tuopu,2024,FY,26600328450.94,CNY,
Tuopu,2025,FY,29581458675.27,CNY,
Tuopu,2025Q2,Q,12934627599.03,CNY,
Tuopu,2026Q2,Q,14199245308.27,CNY,
