date,company,ticker,currency,price,market_cap,pe,pb,ev_sales,ytd_return,data_status
2026-01-31,Aumovio,AUMOVIO-DEMO,EUR,62.0,82000000000,21.4,2.8,1.7,0.08,ILLUSTRATIVE_DEMO
2026-02-28,Aumovio,AUMOVIO-DEMO,EUR,62.71,82000000000,21.4,2.8,1.7,0.08,ILLUSTRATIVE_DEMO
2026-03-31,Aumovio,AUMOVIO-DEMO,EUR,58.57,82000000000,21.4,2.8,1.7,0.08,ILLUSTRATIVE_DEMO
2026-04-30,Aumovio,AUMOVIO-DEMO,EUR,62.76,82000000000,21.4,2.8,1.7,0.08,ILLUSTRATIVE_DEMO
2026-05-31,Aumovio,AUMOVIO-DEMO,EUR,63.29,82000000000,21.4,2.8,1.7,0.08,ILLUSTRATIVE_DEMO
2026-06-30,Aumovio,AUMOVIO-DEMO,EUR,63.19,82000000000,21.4,2.8,1.7,0.08,ILLUSTRATIVE_DEMO
2026-01-31,Luxshare,002475.SZ-DEMO,CNY,28.0,36000000000,24.8,4.2,1.9,0.15,ILLUSTRATIVE_DEMO
2026-02-28,Luxshare,002475.SZ-DEMO,CNY,28.49,36000000000,24.8,4.2,1.9,0.15,ILLUSTRATIVE_DEMO
2026-03-31,Luxshare,002475.SZ-DEMO,CNY,26.78,36000000000,24.8,4.2,1.9,0.15,ILLUSTRATIVE_DEMO
2026-04-30,Luxshare,002475.SZ-DEMO,CNY,28.88,36000000000,24.8,4.2,1.9,0.15,ILLUSTRATIVE_DEMO
2026-05-31,Luxshare,002475.SZ-DEMO,CNY,29.32,36000000000,24.8,4.2,1.9,0.15,ILLUSTRATIVE_DEMO
2026-06-30,Luxshare,002475.SZ-DEMO,CNY,29.48,36000000000,24.8,4.2,1.9,0.15,ILLUSTRATIVE_DEMO
2026-01-31,HASCO,HASCO-DEMO,CNY,18.0,22000000000,11.6,1.1,0.5,0.03,ILLUSTRATIVE_DEMO
2026-02-28,HASCO,HASCO-DEMO,CNY,18.43,22000000000,11.6,1.1,0.5,0.03,ILLUSTRATIVE_DEMO
2026-03-31,HASCO,HASCO-DEMO,CNY,17.43,22000000000,11.6,1.1,0.5,0.03,ILLUSTRATIVE_DEMO
2026-04-30,HASCO,HASCO-DEMO,CNY,18.91,22000000000,11.6,1.1,0.5,0.03,ILLUSTRATIVE_DEMO
2026-05-31,HASCO,HASCO-DEMO,CNY,19.32,22000000000,11.6,1.1,0.5,0.03,ILLUSTRATIVE_DEMO
2026-06-30,HASCO,HASCO-DEMO,CNY,19.56,22000000000,11.6,1.1,0.5,0.03,ILLUSTRATIVE_DEMO
2026-01-31,Tuopu,601689.SH-DEMO,CNY,42.0,51000000000,28.2,5.0,3.1,0.12,ILLUSTRATIVE_DEMO
2026-02-28,Tuopu,601689.SH-DEMO,CNY,43.26,51000000000,28.2,5.0,3.1,0.12,ILLUSTRATIVE_DEMO
2026-03-31,Tuopu,601689.SH-DEMO,CNY,41.16,51000000000,28.2,5.0,3.1,0.12,ILLUSTRATIVE_DEMO
2026-04-30,Tuopu,601689.SH-DEMO,CNY,44.94,51000000000,28.2,5.0,3.1,0.12,ILLUSTRATIVE_DEMO
2026-05-31,Tuopu,601689.SH-DEMO,CNY,46.2,51000000000,28.2,5.0,3.1,0.12,ILLUSTRATIVE_DEMO
2026-06-30,Tuopu,601689.SH-DEMO,CNY,47.04,51000000000,28.2,5.0,3.1,0.12,ILLUSTRATIVE_DEMO
2026-01-31,Baolong,603197.SH-DEMO,CNY,31.0,35000000000,22.7,3.3,2.0,0.09,ILLUSTRATIVE_DEMO
2026-02-28,Baolong,603197.SH-DEMO,CNY,32.12,35000000000,22.7,3.3,2.0,0.09,ILLUSTRATIVE_DEMO
2026-03-31,Baolong,603197.SH-DEMO,CNY,30.74,35000000000,22.7,3.3,2.0,0.09,ILLUSTRATIVE_DEMO
2026-04-30,Baolong,603197.SH-DEMO,CNY,33.77,35000000000,22.7,3.3,2.0,0.09,ILLUSTRATIVE_DEMO
2026-05-31,Baolong,603197.SH-DEMO,CNY,34.92,35000000000,22.7,3.3,2.0,0.09,ILLUSTRATIVE_DEMO
2026-06-30,Baolong,603197.SH-DEMO,CNY,35.76,35000000000,22.7,3.3,2.0,0.09,ILLUSTRATIVE_DEMO
2026-01-31,BTL,603596.SH-DEMO,CNY,38.0,45000000000,25.1,4.0,2.4,0.11,ILLUSTRATIVE_DEMO
2026-02-28,BTL,603596.SH-DEMO,CNY,39.61,45000000000,25.1,4.0,2.4,0.11,ILLUSTRATIVE_DEMO
2026-03-31,BTL,603596.SH-DEMO,CNY,38.13,45000000000,25.1,4.0,2.4,0.11,ILLUSTRATIVE_DEMO
2026-04-30,BTL,603596.SH-DEMO,CNY,42.12,45000000000,25.1,4.0,2.4,0.11,ILLUSTRATIVE_DEMO
2026-05-31,BTL,603596.SH-DEMO,CNY,43.81,45000000000,25.1,4.0,2.4,0.11,ILLUSTRATIVE_DEMO
2026-06-30,BTL,603596.SH-DEMO,CNY,45.11,45000000000,25.1,4.0,2.4,0.11,ILLUSTRATIVE_DEMO
2026-01-31,NASN,NASN-DEMO,CNY,15.0,12000000000,,2.1,2.8,-0.06,ILLUSTRATIVE_DEMO
2026-02-28,NASN,NASN-DEMO,CNY,15.73,12000000000,,2.1,2.8,-0.06,ILLUSTRATIVE_DEMO
2026-03-31,NASN,NASN-DEMO,CNY,15.23,12000000000,,2.1,2.8,-0.06,ILLUSTRATIVE_DEMO
2026-04-30,NASN,NASN-DEMO,CNY,16.92,12000000000,,2.1,2.8,-0.06,ILLUSTRATIVE_DEMO
2026-05-31,NASN,NASN-DEMO,CNY,17.69,12000000000,,2.1,2.8,-0.06,ILLUSTRATIVE_DEMO
2026-06-30,NASN,NASN-DEMO,CNY,18.31,12000000000,,2.1,2.8,-0.06,ILLUSTRATIVE_DEMO
