date,company,ticker,price,currency
2026-08-03,AUMOVIO,AMV0.F,40.55,EUR
2026-08-03,BTL,603596.SS,27.05,CNY
2026-08-03,Baolong,603197.SS,30.24,CNY
2026-08-03,HASCO,600741.SS,16.67,CNY
2026-08-03,Luxshare,002475.SZ,53.71,CNY
2026-08-03,Tuopu,601689.SS,48.22,CNY
2026-08-04,AUMOVIO,AMV0.F,39.2,EUR
2026-08-04,BTL,603596.SS,26.69,CNY
2026-08-04,Baolong,603197.SS,30.0,CNY
2026-08-04,HASCO,600741.SS,16.18,CNY
2026-08-04,Luxshare,002475.SZ,55.48,CNY
2026-08-04,Tuopu,601689.SS,49.75,CNY
2026-08-05,AUMOVIO,AMV0.F,39.8,EUR
2026-08-05,BTL,603596.SS,27.04,CNY
2026-08-05,Baolong,603197.SS,30.37,CNY
2026-08-05,HASCO,600741.SS,16.09,CNY
2026-08-05,Luxshare,002475.SZ,55.87,CNY
2026-08-05,Tuopu,601689.SS,50.22,CNY
2026-08-06,AUMOVIO,AMV0.F,39.0,EUR
2026-08-06,BTL,603596.SS,27.5,CNY
2026-08-06,Baolong,603197.SS,30.31,CNY
2026-08-06,HASCO,600741.SS,16.0,CNY
2026-08-06,Luxshare,002475.SZ,55.9,CNY
2026-08-06,Tuopu,601689.SS,49.77,CNY
2026-08-07,AUMOVIO,AMV0.F,36.05,EUR
2026-08-07,BTL,603596.SS,26.64,CNY
2026-08-07,Baolong,603197.SS,29.9,CNY
2026-08-07,HASCO,600741.SS,16.0,CNY
2026-08-07,Luxshare,002475.SZ,56.99,CNY
2026-08-07,Tuopu,601689.SS,50.38,CNY
2026-08-10,AUMOVIO,AMV0.F,38.4,EUR
2026-08-10,BTL,603596.SS,26.87,CNY
2026-08-10,Baolong,603197.SS,30.53,CNY
2026-08-10,HASCO,600741.SS,15.98,CNY
2026-08-10,Luxshare,002475.SZ,55.79,CNY
2026-08-10,Tuopu,601689.SS,49.48,CNY
2026-08-11,AUMOVIO,AMV0.F,39.1,EUR
2026-08-11,BTL,603596.SS,27.04,CNY
2026-08-11,Baolong,603197.SS,30.5,CNY
2026-08-11,HASCO,600741.SS,15.86,CNY
2026-08-11,Luxshare,002475.SZ,55.63,CNY
2026-08-11,Tuopu,601689.SS,50.93,CNY
2026-08-12,AUMOVIO,AMV0.F,38.55,EUR
2026-08-12,BTL,603596.SS,26.97,CNY
2026-08-12,Baolong,603197.SS,30.78,CNY
2026-08-12,HASCO,600741.SS,15.82,CNY
2026-08-12,Luxshare,002475.SZ,57.35,CNY
2026-08-12,Tuopu,601689.SS,50.3,CNY
2026-08-13,AUMOVIO,AMV0.F,37.75,EUR
2026-08-13,BTL,603596.SS,27.11,CNY
2026-08-13,Baolong,603197.SS,30.57,CNY
2026-08-13,HASCO,600741.SS,15.52,CNY
2026-08-13,Luxshare,002475.SZ,56.06,CNY
2026-08-13,Tuopu,601689.SS,49.69,CNY
2026-08-14,AUMOVIO,AMV0.F,37.3,EUR
2026-08-14,BTL,603596.SS,26.44,CNY
2026-08-14,Baolong,603197.SS,30.4,CNY
2026-08-14,HASCO,600741.SS,15.4,CNY
2026-08-14,Luxshare,002475.SZ,56.58,CNY
2026-08-14,Tuopu,601689.SS,49.51,CNY
2026-08-17,AUMOVIO,AMV0.F,37.0,EUR
2026-08-17,BTL,603596.SS,26.15,CNY
2026-08-17,Baolong,603197.SS,30.76,CNY
2026-08-17,HASCO,600741.SS,15.32,CNY
2026-08-17,Luxshare,002475.SZ,58.84,CNY
2026-08-17,Tuopu,601689.SS,50.31,CNY
2026-08-18,AUMOVIO,AMV0.F,36.3,EUR
2026-08-18,BTL,603596.SS,26.08,CNY
2026-08-18,Baolong,603197.SS,31.25,CNY
2026-08-18,HASCO,600741.SS,15.32,CNY
2026-08-18,Luxshare,002475.SZ,57.74,CNY
2026-08-18,Tuopu,601689.SS,51.1,CNY
2026-08-19,AUMOVIO,AMV0.F,35.6,EUR
2026-08-19,BTL,603596.SS,24.85,CNY
2026-08-19,Baolong,603197.SS,29.82,CNY
2026-08-19,HASCO,600741.SS,15.33,CNY
2026-08-19,Luxshare,002475.SZ,53.5,CNY
2026-08-19,Tuopu,601689.SS,46.5,CNY
2026-08-20,AUMOVIO,AMV0.F,35.85,EUR
2026-08-20,BTL,603596.SS,25.3,CNY
2026-08-20,Baolong,603197.SS,30.45,CNY
2026-08-20,HASCO,600741.SS,15.45,CNY
2026-08-20,Luxshare,002475.SZ,53.34,CNY
2026-08-20,Tuopu,601689.SS,46.2,CNY
2026-08-21,AUMOVIO,AMV0.F,36.25,EUR
2026-08-21,BTL,603596.SS,25.12,CNY
2026-08-21,Baolong,603197.SS,30.68,CNY
2026-08-21,HASCO,600741.SS,15.26,CNY
2026-08-21,Luxshare,002475.SZ,54.65,CNY
2026-08-21,Tuopu,601689.SS,46.92,CNY
2026-08-24,AUMOVIO,AMV0.F,36.8,EUR
2026-08-24,BTL,603596.SS,25.75,CNY
2026-08-24,Baolong,603197.SS,30.41,CNY
2026-08-24,HASCO,600741.SS,15.48,CNY
2026-08-24,Luxshare,002475.SZ,53.72,CNY
2026-08-24,Tuopu,601689.SS,46.3,CNY
2026-08-25,AUMOVIO,AMV0.F,34.35,EUR
2026-08-25,BTL,603596.SS,25.7,CNY
2026-08-25,Baolong,603197.SS,30.48,CNY
2026-08-25,HASCO,600741.SS,15.36,CNY
2026-08-25,Luxshare,002475.SZ,54.86,CNY
