company,period,revenue,currency,note
BTL,2021,3492283094.71,CNY,伯特利603596年报
BTL,2022,5539148624.29,CNY,伯特利603596年报
BTL,2023,7473782728.86,CNY,伯特利603596年报
BTL,2024,9936599426.94,CNY,伯特利603596年报
BTL,2025,12014080628.71,CNY,伯特利603596年报（2024年99.37亿×同比+20.91%交叉验证）
Baolong,2021,3897585592.28,CNY,保隆科技603197年报
Baolong,2022,4777714295.69,CNY,保隆科技603197年报
Baolong,2023,5897464869.58,CNY,保隆科技603197年报
Baolong,2024,7024868294.20,CNY,保隆科技603197年报
Baolong,2025,8747278762.43,CNY,保隆科技603197年报
HASCO,2021,139944139630.43,CNY,华域汽车600741年报
HASCO,2022,158267906802.55,CNY,华域汽车600741年报
HASCO,2023,168594051304.15,CNY,华域汽车600741年报
HASCO,2024,169603589952.76,CNY,华域汽车600741年报（重述值；2024年报原文168852183839.32，2025年报同比+8.49%与重述值一致）
HASCO,2025,183998900513.66,CNY,华域汽车600741年报
Luxshare,2021,153946097790.40,CNY,立讯精密002475年报
Luxshare,2022,214028394291.44,CNY,立讯精密002475年报
Luxshare,2023,231905459829.83,CNY,立讯精密002475年报
Luxshare,2024,268794737612.58,CNY,立讯精密002475年报
Luxshare,2025,332344443143.39,CNY,立讯精密002475年报
NASN,2021,,CNY,拿森智能科技2261.HK：招股书报告期仅2023-2025，2021无公开数据
NASN,2022,217519000,CNY,拿森智能科技2261.HK：由2023年272217000÷(1+25.1%)反推，估算值
NASN,2023,272217000,CNY,拿森智能科技2261.HK招股书（报表货币为人民币）
NASN,2024,390737000,CNY,拿森智能科技2261.HK招股书
NASN,2025,614506000,CNY,拿森智能科技2261.HK招股书
Tuopu,2021,11462693679.86,CNY,拓普集团601689年报
Tuopu,2022,15992821677.50,CNY,拓普集团601689年报
Tuopu,2023,19700560430.00,CNY,拓普集团601689年报
Tuopu,2024,26600328450.94,CNY,拓普集团601689年报
Tuopu,2025,29581458675.27,CNY,拓普集团601689年报
AUMOVIO,2024,19763543003.85,EUR,AUMOVIO年报（由CNY历史值153.958亿÷汇率7.79反推为欧元原值）
AUMOVIO,2025,18550000000.00,EUR,AUMOVIO年报（由CNY历史值150.626亿÷汇率8.12反推为欧元原值）
